Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice,TotalSF
1,60,3,65.0,619,1,2,3,3,0,4,0,5,2,2,0,5,7,5,2003,2003,1,1,12,13,1,196.0,2,4,2,2,3,3,2,706.0,5,0.0,150.0,856.0,1,0,1,4,0,1710,1.0,0.0,2,1,3,1,2,8,6,0,5,1,2003.0,1,2.0,548.0,4,4,2,0,61,0,0,0,0,3,4,4,0,2,2008,8,4,208500.0,1710
2,20,3,80.0,895,1,2,3,3,0,2,0,24,1,2,0,2,6,8,1976,1976,1,1,8,8,3,0.0,3,4,1,2,3,1,0,978.0,5,0.0,284.0,1262.0,1,0,1,4,0,1262,0.0,1.0,2,0,3,1,3,6,6,1,4,1,1976.0,1,2.0,460.0,4,4,2,298,0,0,0,0,0,3,4,4,0,5,2007,8,4,181500.0,1262
3,60,3,68.0,1266,1,2,0,3,0,4,0,5,2,2,0,5,7,5,2001,2002,1,1,12,13,1,162.0,2,4,2,2,3,2,2,486.0,5,0.0,434.0,920.0,1,0,1,4,0,1786,1.0,0.0,2,1,3,1,2,6,6,1,4,1,2001.0,1,2.0,608.0,4,4,2,0,42,0,0,0,0,3,4,4,0,9,2008,8,4,223500.0,1786
4,70,3,60.0,883,1,2,0,3,0,0,0,6,2,2,0,5,7,5,1915,1970,1,1,13,15,3,0.0,3,4,0,3,1,3,0,216.0,5,0.0,540.0,756.0,1,2,1,4,0,1717,1.0,0.0,1,0,3,1,2,7,6,1,2,5,1998.0,2,3.0,642.0,4,4,2,0,35,272,0,0,0,3,4,4,0,2,2006,8,0,140000.0,1717
5,60,3,84.0,1670,1,2,0,3,0,2,0,15,2,2,0,5,8,5,2000,2000,1,1,12,13,1,350.0,2,4,2,2,3,0,2,655.0,5,0.0,490.0,1145.0,1,0,1,4,0,2198,1.0,0.0,2,1,4,1,2,9,6,1,4,1,2000.0,1,3.0,836.0,4,4,2,192,84,0,0,0,0,3,4,4,0,12,2008,8,4,250000.0,2198
6,50,3,85.0,1650,1,2,0,3,0,4,0,11,2,2,0,0,5,5,1993,1995,1,1,12,13,3,0.0,3,4,5,2,3,3,2,732.0,5,0.0,64.0,796.0,1,0,1,4,0,1362,1.0,0.0,1,1,1,1,3,5,6,0,5,1,1993.0,2,2.0,480.0,4,4,2,40,30,0,320,0,0,3,2,2,700,10,2009,8,4,143000.0,1362
7,20,3,75.0,1002,1,2,3,3,0,4,0,21,2,2,0,2,8,5,2004,2005,1,1,12,13,2,186.0,2,4,2,0,3,0,2,1369.0,5,0.0,317.0,1686.0,1,0,1,4,0,1694,1.0,0.0,2,0,3,1,2,7,6,1,2,1,2004.0,1,2.0,636.0,4,4,2,255,57,0,0,0,0,3,4,4,0,8,2007,8,4,307000.0,1694
8,60,3,0.0,1074,1,2,0,3,0,0,0,14,4,2,0,5,7,6,1973,1973,1,1,6,6,2,240.0,3,4,1,2,3,2,0,859.0,1,32.0,216.0,1107.0,1,0,1,4,0,2090,1.0,0.0,2,1,3,1,3,7,6,2,4,1,1973.0,1,2.0,484.0,4,4,2,235,204,228,0,0,0,3,4,2,350,11,2009,8,4,200000.0,2090
9,50,4,51.0,251,1,2,3,3,0,4,0,17,0,2,0,0,7,5,1931,1950,1,1,3,15,3,0.0,3,4,0,3,3,3,5,0.0,5,0.0,952.0,952.0,1,2,1,1,0,1774,0.0,0.0,2,0,2,2,3,8,2,2,4,5,1931.0,2,2.0,468.0,1,4,2,90,0,205,0,0,0,3,4,4,0,4,2008,8,0,129900.0,1774
10,190,3,50.0,405,1,2,3,3,0,0,0,3,0,0,1,1,5,6,1939,1950,1,1,8,8,3,0.0,3,4,0,3,3,3,2,851.0,5,0.0,140.0,991.0,1,0,1,4,0,1077,1.0,0.0,1,0,2,2,3,5,6,2,4,1,1939.0,1,1.0,205.0,2,4,2,0,4,0,0,0,0,3,4,4,0,1,2008,8,4,118000.0,1077
11,20,3,70.0,1253,1,2,3,3,0,4,0,19,2,2,0,2,5,5,1965,1965,3,1,6,6,3,0.0,3,4,1,3,3,3,4,906.0,5,0.0,134.0,1040.0,1,0,1,4,0,1040,1.0,0.0,1,0,3,1,3,5,6,0,5,5,1965.0,2,1.0,384.0,4,4,2,0,0,0,0,0,0,3,4,4,0,2,2008,8,4,129500.0,1040
12,60,3,85.0,1386,1,2,0,3,0,4,0,16,2,2,0,5,9,5,2005,2006,3,1,14,15,2,286.0,0,4,2,0,3,3,2,998.0,5,0.0,177.0,1175.0,1,0,1,4,0,2324,1.0,0.0,3,0,4,1,0,11,6,2,2,3,2005.0,0,3.0,736.0,4,4,2,147,21,0,0,0,0,3,4,4,0,7,2006,6,5,345000.0,2324
13,20,3,0.0,1540,1,2,1,3,0,4,0,19,2,2,0,2,5,6,1962,1962,3,1,6,10,3,0.0,3,4,1,3,3,3,0,737.0,5,0.0,175.0,912.0,1,4,1,4,0,912,1.0,0.0,1,0,2,1,3,4,6,0,5,5,1962.0,2,1.0,352.0,4,4,2,140,0,0,0,176,0,3,4,4,0,9,2008,8,4,144000.0,912
14,20,3,91.0,1139,1,2,0,3,0,4,0,5,2,2,0,2,7,5,2006,2007,1,1,12,13,2,306.0,2,4,2,2,3,0,5,0.0,5,0.0,1494.0,1494.0,1,0,1,4,0,1494,0.0,0.0,2,0,3,1,2,7,6,1,2,1,2006.0,1,3.0,840.0,4,4,2,160,33,0,0,0,0,3,4,4,0,8,2007,6,5,279500.0,1494
15,20,3,0.0,1195,1,2,0,3,0,0,0,12,2,2,0,2,6,5,1960,1960,3,1,8,8,1,212.0,3,4,1,3,3,3,1,733.0,5,0.0,520.0,1253.0,1,4,1,4,0,1253,1.0,0.0,1,1,2,1,3,5,6,1,1,1,1960.0,1,1.0,352.0,4,4,2,0,213,176,0,0,0,3,1,4,0,5,2008,8,4,157000.0,1253
16,45,4,51.0,251,1,2,3,3,0,0,0,3,2,2,0,1,7,8,1929,2001,1,1,13,14,3,0.0,3,4,0,3,3,3,5,0.0,5,0.0,832.0,832.0,1,0,1,0,0,854,0.0,0.0,1,0,2,1,3,5,6,0,5,5,1991.0,2,2.0,576.0,4,4,2,48,112,0,0,0,0,3,0,4,0,7,2007,8,4,132000.0,854
17,20,3,0.0,1263,1,2,0,3,0,1,0,12,2,2,0,2,6,7,1970,1970,1,1,13,14,1,180.0,3,4,1,3,3,3,0,578.0,5,0.0,426.0,1004.0,1,0,1,4,0,1004,1.0,0.0,1,0,2,1,3,5,6,1,4,1,1970.0,0,2.0,480.0,4,4,2,0,0,0,0,0,0,3,4,2,700,3,2010,8,4,149000.0,1004
18,90,3,72.0,1170,1,2,3,3,0,4,0,19,2,2,2,2,4,5,1967,1967,1,1,8,8,3,0.0,3,4,3,4,4,4,6,0.0,6,0.0,0.0,0.0,1,4,1,4,0,1296,0.0,0.0,2,0,2,2,3,6,6,0,5,4,1967.0,2,2.0,516.0,4,4,2,0,0,0,0,0,0,3,4,2,500,10,2006,8,4,90000.0,1296
19,20,3,66.0,1624,1,2,3,3,0,4,0,20,5,2,0,2,5,5,2004,2004,1,1,12,13,3,0.0,3,4,2,3,3,3,2,646.0,5,0.0,468.0,1114.0,1,0,1,4,0,1114,1.0,0.0,1,1,3,1,2,6,6,0,5,5,2004.0,2,2.0,576.0,4,4,2,0,102,0,0,0,0,3,4,4,0,6,2008,8,4,159000.0,1114
20,20,3,70.0,427,1,2,3,3,0,4,0,12,2,2,0,2,5,6,1958,1965,3,1,3,10,3,0.0,3,4,1,3,3,3,3,504.0,5,0.0,525.0,1029.0,1,4,1,4,0,1339,0.0,0.0,1,0,3,1,3,6,2,0,5,1,1958.0,2,1.0,294.0,4,4,2,0,0,0,0,0,0,3,2,4,0,5,2009,0,0,139000.0,1339
21,60,3,101.0,1663,1,2,0,3,0,0,0,16,2,2,0,5,8,5,2005,2006,1,1,12,13,1,380.0,2,4,2,0,3,0,5,0.0,5,0.0,1158.0,1158.0,1,0,1,4,0,2376,0.0,0.0,3,1,4,1,2,9,6,1,2,3,2005.0,1,3.0,853.0,4,4,2,240,154,0,0,0,0,3,4,4,0,11,2006,6,5,325300.0,2376
22,45,4,57.0,413,1,0,3,0,0,4,0,9,2,2,0,1,7,7,1930,1950,1,1,13,14,3,0.0,3,4,2,3,3,3,5,0.0,5,0.0,637.0,637.0,1,0,1,1,0,1108,0.0,0.0,1,0,3,1,2,6,6,1,2,1,1930.0,2,1.0,280.0,4,4,0,0,0,205,0,0,0,3,0,4,0,6,2007,8,4,139400.0,1108
23,20,3,75.0,925,1,2,3,3,0,4,0,5,2,2,0,2,8,5,2002,2002,3,1,12,13,1,281.0,2,4,2,2,3,3,5,0.0,5,0.0,1777.0,1777.0,1,0,1,4,0,1795,0.0,0.0,2,0,3,1,2,7,6,1,2,1,2002.0,1,2.0,534.0,4,4,2,171,159,0,0,0,0,3,4,4,0,9,2008,8,4,230000.0,1795
24,120,4,44.0,133,1,2,3,3,0,4,0,10,2,2,4,2,5,7,1976,1976,1,1,5,5,3,0.0,3,4,2,2,3,3,2,840.0,5,0.0,200.0,1040.0,1,4,1,4,0,1060,1.0,0.0,1,0,3,1,3,6,6,1,4,1,1976.0,2,2.0,572.0,4,4,2,100,110,0,0,0,0,3,4,4,0,6,2007,8,4,129900.0,1060
