Feature,MI_Score
MSSubClass,0.15807851316299537
MSZoning,0.02833122245844466
LotFrontage,0.13490434664816675
LotArea,0.2651459879913518
Street,0.04065919788498107
LotConfig,0.029255779083439126
Neighborhood,0.11586574139347361
Condition2,0.06608203509592814
BldgType,0.07532408459709816
OverallQual,0.23383899925922025
YearBuilt,0.08734350244851896
YearRemodAdd,0.09696875413729522
RoofStyle,0.023128039631768127
RoofMatl,0.015034672913057046
Exterior1st,0.026233198037554306
Exterior2nd,0.037596624989998606
MasVnrType,0.04685942442537261
MasVnrArea,0.0843939719828457
ExterQual,0.11053866354746189
ExterCond,0.05083026399647528
BsmtQual,0.11091835013427565
BsmtCond,0.05360837380407224
BsmtExposure,0.07562800443017936
BsmtFinType1,0.06472284265454231
BsmtFinSF1,0.05760319281478843
BsmtUnfSF,0.13842289834851673
TotalBsmtSF,0.13159748923163095
Heating,0.05700752641470763
CentralAir,0.013525703410370404
GrLivArea,0.2852327900848035
BsmtFullBath,0.03523678680985576
FullBath,0.22736667642864727
HalfBath,0.046312612160581024
BedroomAbvGr,0.19096152529907062
KitchenAbvGr,0.050836916654779074
KitchenQual,0.1167330388532366
TotRmsAbvGrd,0.19888800937218365
Fireplaces,0.07004423499149515
FireplaceQu,0.07968154515600823
GarageType,0.13816795571096296
GarageYrBlt,0.07687734319986372
GarageFinish,0.10273218363547354
GarageCars,0.15952181136158483
GarageArea,0.1701279436672447
GarageQual,0.03233956931934756
GarageCond,0.033967885681378096
PavedDrive,0.0664585052618194
WoodDeckSF,0.0831039577773498
OpenPorchSF,0.06274190481436559
EnclosedPorch,0.015192780251463978
PoolQC,0.015954325401539737
Fence,0.01868032752754134
MoSold,0.06755689477480997
SaleCondition,0.022267238138010903
TotalSF,0.3285632504449074
