Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,TotalSF,SalePrice
2651,160,3,24.0,33,1,2,3,3,0,4,0,13,2,2,3,5,6,5,1976,1976,1,1,9,2,3,0.0,3,4,1,2,3,3,0,70.0,5,0.0,785.0,855.0,1,2,1,4,0,1456,0.0,0.0,2,1,3,1,3,6,6,1,4,1,1976.0,1,2.0,460.0,4,4,2,0,28,0,0,0,0,3,4,4,0,7,2006,8,4,1456,168664.346821336
1710,20,1,75.0,419,1,2,3,3,0,4,0,21,2,2,0,2,8,5,2006,2007,1,1,12,13,2,238.0,2,4,2,2,3,3,2,24.0,5,0.0,1348.0,1372.0,1,0,1,4,0,1448,0.0,0.0,2,0,2,1,2,6,6,1,2,1,2006.0,1,2.0,692.0,4,4,2,0,140,0,0,0,0,3,4,4,0,6,2009,8,4,1448,162062.47538448
870,60,3,80.0,972,1,2,3,3,0,4,0,20,2,2,0,5,7,5,1993,1994,1,1,8,8,1,246.0,2,4,2,2,3,3,2,750.0,5,0.0,300.0,1050.0,1,0,1,4,0,1949,1.0,0.0,2,1,3,1,2,8,6,1,4,1,1993.0,0,2.0,574.0,4,4,2,156,90,0,0,0,0,3,0,4,0,6,2010,8,4,1949,236000.0
2356,20,3,60.0,1476,1,2,3,3,0,4,0,20,5,2,0,2,5,5,2003,2004,1,1,12,13,1,126.0,2,4,2,2,3,3,2,729.0,5,0.0,365.0,1094.0,1,0,1,4,0,1094,1.0,0.0,1,0,3,1,2,6,6,0,5,5,2004.0,2,2.0,576.0,4,4,2,0,0,0,0,0,0,3,4,4,0,5,2007,8,4,1094,185770.606634739
2915,160,4,21.0,23,1,2,3,3,0,4,0,10,2,2,3,5,4,7,1970,1970,1,1,5,5,3,0.0,3,4,1,3,3,3,5,0.0,5,0.0,546.0,546.0,1,2,1,4,0,1092,0.0,0.0,1,1,3,1,3,5,6,0,5,6,0.0,3,0.0,0.0,5,5,2,0,0,0,0,0,0,3,4,4,0,6,2006,8,4,1092,167081.220948984
1562,20,3,65.0,474,1,2,3,3,0,4,0,19,2,2,0,2,5,7,1966,2008,3,1,6,6,1,47.0,3,4,1,3,3,2,1,240.0,4,474.0,150.0,864.0,1,0,1,4,0,892,1.0,0.0,1,0,3,1,2,5,6,0,5,5,1966.0,2,1.0,416.0,4,4,2,0,0,0,0,0,0,3,4,4,0,6,2010,8,4,892,175031.089987177
606,60,3,85.0,1611,1,2,3,3,0,4,0,12,2,2,0,5,7,6,1965,1990,1,1,6,6,1,176.0,3,4,1,3,3,3,1,454.0,5,0.0,314.0,768.0,1,4,1,4,0,1986,0.0,0.0,2,1,3,1,3,7,6,3,1,1,1965.0,2,2.0,486.0,4,4,2,0,42,0,0,189,0,3,4,4,0,10,2009,8,4,1986,205000.0
2817,20,3,87.0,1551,1,2,3,2,0,4,1,4,2,2,0,2,5,6,1963,1963,0,5,14,15,3,0.0,3,4,1,2,3,0,4,104.0,0,850.0,46.0,1000.0,1,0,1,4,0,1000,1.0,0.0,1,0,1,1,3,4,6,2,4,1,1993.0,2,2.0,575.0,4,4,2,238,0,148,0,0,0,3,4,4,0,4,2006,8,4,1000,160192.453934518
912,20,3,0.0,820,1,2,0,3,0,1,1,5,2,2,0,2,5,7,1977,1989,1,1,6,10,3,0.0,3,4,1,2,1,0,0,196.0,5,0.0,1072.0,1268.0,1,4,1,4,0,1268,0.0,0.0,1,1,3,1,2,5,6,0,5,5,1978.0,2,1.0,252.0,4,4,2,173,0,0,0,0,0,3,4,4,0,10,2009,8,4,1268,143500.0
1396,60,3,88.0,1499,1,2,0,3,0,4,0,23,2,2,0,5,8,5,2005,2006,3,1,12,13,1,245.0,2,4,2,2,1,1,5,0.0,5,0.0,1094.0,1094.0,1,0,1,4,0,2482,0.0,0.0,2,1,4,1,2,9,6,1,2,3,2005.0,0,3.0,642.0,4,4,2,144,39,0,0,0,0,3,4,4,0,2,2007,8,4,2482,281213.0
